ตรงข้ามมหาวิทยาลัยศรีนครินทรวิโรฒประสานมิตร,
โรงเรียนเซนต์ดอมินิก,15
โรงแรมรอยัลปริ๊นซ์โฮเต็ล,15
แยกมิตรสัมพันธ์(ถนนเพชรบุรีขาเข้า),15
นิคมมักกะสัน(ถนนเพชรบุรีขาเข้า),15
วัดมักกะสัน,15
เมโทร,15
แยกประตูน้ำ,15
อินทราสแควร์ประตูน้ำ,20
ซอยรางน้ำ,20
ตรงข้ามวัดตะพาน,20
สวนสันติภาพ,20
อนุสาวรีย์ชัยสมรภูมิ (เกาะพหลโยธิน),20
