ARL มักกะสัน,15บาท
ใต้ทางด่วนอโศก (ขาออก),15บาท
ตรงข้ามตลาดอยู่เจริญ,15บาท
ตรงข้ามตลาดขวัญพัฒนา,15บาท
โบสถ์แม่พระฟาติมา,15บาท
แฟลตดินแดง (อาคาร 7),15บาท
แฟลตดินแดง (อาคาร 5),15บาท
ตรงข้ามโรงเรียนพิบูลประชาสรรค์,15บาท
ตรงข้ามสำนักงาน ป.ป.ส.,20บาท
สวนสันติภาพ,20บาท
อนุสาวรีย์ชัยสมรภูมิ (เกาะราชวิถี),20บาท
รพ.เด็ก,20บาท
โรงเรียนสอนคนตาบอดกรุงเทพ,20บาท
สถาบันประสาทวิทยา,20บาท
ตรงข้ามซอยราชวิถี 22,20บาท
ตรงข้ามซอยราชวิถี 30,20บาท
ก่อนแยกราชวิถี,20บาท
พระที่นั่งวิมานเมฆ,20บาท
ซอยสวนอ้อย,20บาท
ปากทางออกถนนอำนวยสงคราม,20บาท
แม็คโครสามเสน,20บาท
รัฐสภา,20บาท
ตรงข้ามกองพันทหารม้าที่ 4,20บาท
แยกเกียกกาย (ขาออก),20บาท
ตรงข้ามวัดประดู่ธรรมาธิปัตย์,20บาท
ตรงข้ามสถานีดับเพลิงบางโพ,20บาท
หลังแยกบางโพ,20บาท
หลังแยกบางโพ,20บาท
วัดอนัมนิกายาราม,20บาท
โรงเรียนโยธินบูรณะ,20บาท
วัดสร้อยทอง,20บาท
ซอยจรัญสนิทวงศ์ 96/2,20บาท
